Depth	AC	CNL	DEN	GR	PE	RLLD	LIMSTONE	LIMSTON_BP	LIMSTON_DT	LIMSTON_SVM	LIMSTON_STACK	LIMSTON_RF	LIMSTON_ADA	LIMSTON_XGB	LIMSTON_GBC
3467.75	166.7050018	8.314	2.834000111	60.9280014	3.35800004	196.1820068	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3467.875	166.5310059	8.583	2.832000017	67.73699951	3.368000031	193.58399960000003	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3468.0	164.8419952	8.605	2.829999924	68.4509964	3.361000061	200.59199519999993	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3468.125	163.0879974	8.361	2.826999903	63.42399979	3.348999977	211.49299620000002	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3468.25	163.6710053	8.222	2.821000099	55.93600082	3.352999926	214.94700619999995	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3468.375	167.4929962	8.593	2.805999994	52.48799896	3.381000042	199.88400269999997	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3468.5	176.776001	9.407	2.779000044	53.87400055	3.424000025	173.7980042	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3468.625	190.3600006	10.329	2.743000031	60.44599915	3.464999914	155.80799869999998	5.0	2.0	2.0	5.0	2.0	5.0	5.0	2.0	5.0
3468.75	195.6069946	11.102	2.714999914	73.24099731	3.493999958	150.99099730000003	2.0	2.0	2.0	2.0	2.0	2.0	5.0	2.0	2.0
3468.875	194.6490021	11.406	2.707999945	85.47299957	3.509000063	154.62300109999998	2.0	2.0	2.0	2.0	2.0	2.0	5.0	2.0	2.0
3469.0	188.1699982	11.057	2.724999905	87.16799927	3.522000074	167.13900759999996	2.0	2.0	2.0	2.0	2.0	2.0	5.0	2.0	2.0
3469.125	180.0529938	10.349	2.753000021	78.76100159	3.555000067	184.26600649999995	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3469.25	175.0379944	9.862	2.770999908	73.16799927	3.615999937	186.97399899999996	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3469.375	174.8379974	9.871	2.775000095	77.01799774	3.687000036	177.54499819999995	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3469.5	177.1660004	10.11	2.772000074	89.05899811	3.743999958	174.61900330000006	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3469.625	178.8309937	10.161	2.769999981	100.5009995	3.789000034	185.58599850000002	2.0	2.0	2.0	2.0	2.0	2.0	5.0	2.0	2.0
3469.75	177.4550018	9.622	2.775000095	98.68000031	3.83100009	214.38400270000008	2.0	2.0	2.0	2.0	2.0	2.0	5.0	2.0	2.0
3469.875	173.074997	8.389	2.786000013	80.68199921	3.867000103	265.65100099999995	5.0	5.0	5.0	5.0	5.0	2.0	5.0	5.0	5.0
3470.0	168.0160065	6.917	2.798000097	58.68600082	3.898999929	336.0249939000001	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3470.125	164.8009949	5.742	2.805999994	44.68799973	3.946000099	402.2070007	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3470.25	164.227005	5.002	2.805999994	41.52000046	4.032999992	445.25500490000013	2.0	2.0	2.0	2.0	2.0	2.0	5.0	2.0	2.0
3470.375	165.8059998	4.656	2.799000025	44.56299973	4.175000191	472.59799190000007	2.0	2.0	2.0	2.0	2.0	2.0	5.0	2.0	2.0
3470.5	167.8760071	4.593	2.786999941	49.57600021	4.359000206	505.4309998000001	2.0	2.0	2.0	2.0	2.0	2.0	5.0	2.0	2.0
3470.625	169.2579956	4.593	2.776000023	54.88499832	4.519000053	569.1699828999999	2.0	2.0	2.0	2.0	2.0	2.0	5.0	2.0	2.0
3470.75	169.4190064	4.561	2.770999908	55.95399857	4.568999767	676.3049927	2.0	2.0	2.0	2.0	2.0	2.0	5.0	2.0	2.0
3470.875	168.1600037	4.509	2.773999929	49.36800003	4.456999779	810.1660155999997	2.0	2.0	2.0	2.0	2.0	2.0	5.0	2.0	2.0
3471.0	165.727005	4.428	2.779999971	38.20299912	4.243000031	926.4910278000003	2.0	2.0	2.0	2.0	2.0	2.0	5.0	2.0	2.0
3471.125	163.2579956	4.306	2.786000013	28.97699928	4.039000034	966.6149902000004	2.0	2.0	2.0	2.0	2.0	2.0	5.0	2.0	2.0
3471.25	161.6750031	4.236	2.790999889	27.75499916	3.907000065	898.4290160999999	5.0	2.0	5.0	2.0	5.0	2.0	5.0	5.0	5.0
3471.375	161.5269928	4.342	2.798000097	31.39100075	3.825999975	732.5689697000004	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3471.5	163.1660004	4.616	2.809000015	38.10100174	3.755000114	548.5239868000002	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3471.625	165.7129974	4.994	2.819999933	51.70299912	3.683000088	413.473999	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3471.75	167.9369965	5.436	2.825999975	67.20200348	3.615999937	337.1979981	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
