max_depth	min_samples_leaf	NO1	NO2	NO3	NO4	NO5	NO6	NO7	NO8	NO9	NO10	Accuracy of 10 folds	Variances
35	37	0.8450704225352113	0.8873239436619719	0.8591549295774648	0.8028169014084507	0.7464788732394366	0.8714285714285714	0.8428571428571429	0.8714285714285714	0.8857142857142857	0.9	0.8512273641851108	0.043788003436173
35	39	0.8450704225352113	0.8732394366197183	0.8591549295774648	0.7746478873239436	0.7464788732394366	0.8571428571428571	0.8571428571428571	0.8714285714285714	0.8857142857142857	0.8857142857142857	0.8455734406438632	0.044675552682757566
35	41	0.8450704225352113	0.8732394366197183	0.9014084507042254	0.7746478873239436	0.7323943661971831	0.8571428571428571	0.8571428571428571	0.8714285714285714	0.8714285714285714	0.8857142857142857	0.8469617706237426	0.04991977256460488
35	43	0.8309859154929577	0.8591549295774648	0.9014084507042254	0.7746478873239436	0.7323943661971831	0.8571428571428571	0.8714285714285714	0.8714285714285714	0.9	0.8857142857142857	0.848430583501006	0.05226611733583808
35	45	0.8309859154929577	0.8591549295774648	0.9295774647887324	0.7746478873239436	0.7605633802816901	0.8571428571428571	0.8714285714285714	0.8714285714285714	0.9285714285714286	0.8857142857142857	0.8569215291750503	0.05328607938713632
35	47	0.8169014084507042	0.8591549295774648	0.9295774647887324	0.7746478873239436	0.7605633802816901	0.8571428571428571	0.8714285714285714	0.8714285714285714	0.9285714285714286	0.8714285714285714	0.8540845070422536	0.05350136546878445
35	49	0.8591549295774648	0.8591549295774648	0.9154929577464789	0.7746478873239436	0.7605633802816901	0.8571428571428571	0.8714285714285714	0.8714285714285714	0.9285714285714286	0.8714285714285714	0.8569014084507043	0.050258879063498255
35	51	0.8591549295774648	0.8591549295774648	0.9014084507042254	0.7746478873239436	0.7605633802816901	0.8571428571428571	0.8714285714285714	0.8857142857142857	0.9285714285714286	0.9	0.8597786720321932	0.05098064683060185
35	53	0.8450704225352113	0.8450704225352113	0.9014084507042254	0.7746478873239436	0.7605633802816901	0.8571428571428571	0.8714285714285714	0.8857142857142857	0.9285714285714286	0.9	0.8569617706237425	0.051325238698370905
35	55	0.7746478873239436	0.7746478873239436	0.8309859154929577	0.6901408450704225	0.7605633802816901	0.7857142857142857	0.8	0.8714285714285714	0.8428571428571429	0.8142857142857143	0.7945271629778672	0.04787200268911367
35	57	0.7746478873239436	0.7746478873239436	0.8309859154929577	0.6901408450704225	0.6901408450704225	0.7857142857142857	0.8	0.8142857142857143	0.8428571428571429	0.8142857142857143	0.7817706237424547	0.05050696193728409
35	59	0.7746478873239436	0.7746478873239436	0.8309859154929577	0.6901408450704225	0.6901408450704225	0.7857142857142857	0.8	0.8142857142857143	0.8428571428571429	0.8142857142857143	0.7817706237424547	0.05050696193728409
35	61	0.7746478873239436	0.7746478873239436	0.8309859154929577	0.6901408450704225	0.6901408450704225	0.7857142857142857	0.8	0.8142857142857143	0.8428571428571429	0.8142857142857143	0.7817706237424547	0.05050696193728409
35	63	0.7746478873239436	0.7746478873239436	0.8309859154929577	0.6901408450704225	0.6901408450704225	0.7857142857142857	0.8	0.8142857142857143	0.8428571428571429	0.8142857142857143	0.7817706237424547	0.05050696193728409
35	65	0.7746478873239436	0.7746478873239436	0.8309859154929577	0.6901408450704225	0.6901408450704225	0.7857142857142857	0.8	0.8142857142857143	0.8428571428571429	0.8142857142857143	0.7817706237424547	0.05050696193728409
35	67	0.7746478873239436	0.7746478873239436	0.8309859154929577	0.6901408450704225	0.6901408450704225	0.7857142857142857	0.8	0.8142857142857143	0.8428571428571429	0.8142857142857143	0.7817706237424547	0.05050696193728409
35	69	0.7746478873239436	0.7746478873239436	0.8309859154929577	0.6901408450704225	0.6901408450704225	0.7857142857142857	0.8	0.8142857142857143	0.8428571428571429	0.8142857142857143	0.7817706237424547	0.05050696193728409
35	71	0.7746478873239436	0.7746478873239436	0.8309859154929577	0.6901408450704225	0.6901408450704225	0.7857142857142857	0.8	0.8142857142857143	0.8428571428571429	0.8142857142857143	0.7817706237424547	0.05050696193728409
