DEPTH	AC	CNL	DEN	GR	PE	RLLD	Litho_Pre	RES_ZY
3532.625	156.779007	0.612	2.707000017	15.03899956	4.840000153	28095.70313	0	0
3532.75	156.654007	0.774	2.711999893	15.21100044	4.706999779	21374.43164	0	0
3532.875	156.4320068	0.97	2.720999956	16.00600052	4.554999828	15565.44336	1	1
3533	156.2319946	1.184	2.730999947	16.34799957	4.40500021	12188.9502	1	1
3533.125	156.2039948	1.399	2.739000082	16.15200043	4.281000137	11339.30176	1	1
3533.25	156.3470001	1.594	2.743000031	16.31500053	4.190999985	12477.70508	1	1
3533.375	156.6179962	1.736	2.742000103	16.49200058	4.127999783	15295.04981	1	1
3533.5	156.7769928	1.825	2.742000103	16.81800079	4.089000225	18245.16016	1	1
3533.625	156.7570038	1.862	2.744999886	17.29199982	4.068999767	18781.53711	1	1
3533.75	156.6049957	1.842	2.749000073	18.07099915	4.06799984	17294.10156	1	1
3533.875	156.4329987	1.763	2.752000094	20.05400085	4.093999863	14619.98047	1	1
3534	156.2359924	1.646	2.750999928	22.02899933	4.157000065	12961.33398	1	1
3534.125	156.0820007	1.527	2.746999979	21.71999931	4.250999928	13714.15137	1	1
3534.25	155.9420013	1.444	2.743999958	19.87100029	4.335000038	17697.86523	1	1
3534.375	155.845993	1.386	2.740999937	18.47800064	4.368999958	20494.99219	1	1
3534.5	155.8099976	1.332	2.739000082	17.96699905	4.348999977	19517.89453	1	1
3534.625	155.779007	1.308	2.739000082	18.16200066	4.302999973	18331.85938	1	1
3534.75	155.7290039	1.301	2.742000103	18.15200043	4.260000229	19433.57227	1	1
3534.875	155.7109985	1.285	2.744999886	16.86000061	4.230999947	23032.18555	1	1
3535	155.7420044	1.275	2.746000052	14.95400047	4.228000164	27843.9082	1	1
3535.125	155.8990021	1.227	2.744999886	13.52099991	4.267000198	31545.96094	1	1
3535.25	156.1719971	1.088	2.740999937	13.31400013	4.375	34102.64844	1	1
3535.375	156.4900055	0.903	2.733999968	13.97999954	4.548999786	33840.94141	1	1
3535.5	156.8919983	0.712	2.724999905	14.37699986	4.743999958	29723.33789	0	0
3535.625	157.2259979	0.517	2.717999935	15.39700031	4.896999836	23185.66211	0	0
3535.75	157.3670044	0.347	2.713999987	17.31800079	4.986000061	18570.26172	0	0
3535.875	157.4579926	0.228	2.713999987	18.28199959	5.03000021	18778.55859	0	0
3536	157.4810028	0.146	2.71600008	17.40600014	5.046000004	25370.49023	0	0
3536.125	157.451004	0.086	2.719000101	15.56099987	5.040999889	32546.08008	0	0
3536.25	157.2429962	0.05	2.720999956	13.53600025	5.026000023	36786.89063	0	0
3536.375	156.8789978	0.034	2.720000029	11.17399979	5.017000198	38840.35156	0	0
3536.5	156.5619965	0.042	2.717000008	9.81000042	5.019000053	39798.62109	0	0
3536.625	156.3309937	0.075	2.71600008	10.04300022	5.022999764	40000	0	0
3536.75	156.1419983	0.11	2.71600008	10.72799969	5.019999981	40000	0	0
3536.875	156.0350037	0.134	2.719000101	11.30799961	5.017000198	40000	0	0
3537	156.0099945	0.162	2.723999977	12.1239996	5.028999806	40000	0	0
3537.125	155.9869995	0.187	2.729000092	13.24800015	5.05700016	40000	0	0
3537.25	155.9629974	0.202	2.733999968	14.16499996	5.087999821	40000	0	0
3537.375	155.9799957	0.225	2.737999916	14.85099983	5.111000061	40000	0	0
3537.5	156.0279999	0.251	2.74000001	16.07099915	5.126999855	40000	0	0
3537.625	156.0449982	0.266	2.742000103	16.80599976	5.138999939	39914.22656	0	0
3537.75	156.1170044	0.265	2.744999886	15.24300003	5.145999908	39086.46484	0	0
3537.875	156.3959961	0.255	2.744999886	13.93500042	5.142000198	36962.05078	0	0
3538	156.7960053	0.258	2.743000031	14.44400024	5.111999989	32483.51758	0	0
3538.125	157.0650024	0.303	2.739000082	15.25199986	5.038000107	24456.97266	0	0
3538.25	157.151001	0.398	2.73300004	14.79500008	4.929999828	16860.90234	0	0
3538.375	157.1589966	0.516	2.727999926	13.80700016	4.829999924	13634.30273	0	0
3538.5	157.1829987	0.639	2.723999977	14.50500011	4.782999992	16647.89453	0	0
3538.625	157.2619934	0.76	2.721999884	16.20000076	4.793000221	25536.12305	0	0
3538.75	157.4429932	0.883	2.720999956	17.16600037	4.828999996	33081.57031	0	0
3538.875	157.7960053	1.028	2.720000029	17.40699959	4.857999802	36519.09375	0	0
3539	158.1889954	1.179	2.720999956	16.94799995	4.88199997	37364.76953	0	0
3539.125	158.4219971	1.294	2.721999884	16.70999908	4.927000046	36063.23438	0	0
3539.25	158.5890045	1.357	2.721999884	17.96800041	5.000999928	32249.10742	0	0
3539.375	158.8480072	1.383	2.717999935	19.44099999	5.086999893	30277.19141	0	0
3539.5	159.1499939	1.417	2.711999893	18.75699997	5.159999847	33731.54688	0	0
3539.625	159.3650055	1.469	2.707000017	17.20400047	5.209000111	37018.56641	0	0
3539.75	159.5090027	1.511	2.703999996	16.97999954	5.230000019	38608.00781	0	0
3539.875	159.5690002	1.556	2.70600009	18.3390007	5.227000237	39595.30078	0	0
