Depth	AC	CNL	DEN	GR	PE	RLLD	LIMSTONE	RES
3370.2	159.123	0.429	2.756	10.954	4.225	5568.926	1	0
3370.3	159.324	0.883	2.747	12.661	4.201	5630.965	1	4
3370.4	160.264	1.599	2.731	16.554	4.159	5390.165	1	4
3370.5	162.438	2.818	2.711	23.482	4.099	4632.596	1	0
3370.6	167.643	4.788	2.698	33.728	4.02	3258.498	2	0
3370.7	174.896	7.38	2.693	46.936	3.91	1992.791	2	0
3370.8	183.014	10.315	2.698	64.304	3.77	1035.526	2	0
3370.9	190.614	13.129	2.71	84.473	3.608	445.092	2	0
3371	196.04	14.488	2.723	103.723	3.476	173.125	2	0
3371.1	195.312	13.848	2.733	105.531	3.4	129.105	2	0
3371.2	190.416	12.148	2.739	92.364	3.386	165.33	5	0
3371.3	183.045	10.138	2.739	73.251	3.436	254.363	5	0
3371.4	174.71	8.53	2.736	56.099	3.547	362.954	2	0
3371.5	166.986	7.938	2.737	48.127	3.696	450.454	2	0
3371.6	162.054	7.675	2.744	47.648	3.805	463.99	2	0
3371.7	158.851	7.284	2.754	45.425	3.847	496.395	2	0
3371.8	156.785	6.65	2.765	40.513	3.806	596.644	2	0
3371.9	155.565	5.902	2.773	34.311	3.688	767.789	5	0
3372	155.059	5.631	2.776	29.84	3.526	974.837	5	0
3372.1	156.045	6.132	2.777	31.304	3.399	1040.179	5	0
3372.2	158.425	7.091	2.776	37.871	3.321	946.146	5	0
3372.3	161.974	8.276	2.777	47.579	3.289	758.101	5	0
3372.4	166.341	9.474	2.779	58.484	3.294	537.348	5	0
3372.5	170.978	10.539	2.788	68.576	3.311	348.675	5	0
3372.6	174.436	11.288	2.797	78.263	3.326	256.505	5	0
3372.7	176.284	11.491	2.803	86.936	3.339	211.996	5	0
3372.8	176.735	11.053	2.804	89.592	3.354	206.468	5	0
3372.9	176.119	10.001	2.801	83.586	3.37	235.101	5	0
3373	174.943	8.884	2.793	68.731	3.386	291.291	5	0
3373.1	174.045	8.535	2.782	60	3.405	331.994	5	0
3373.2	173.417	8.785	2.768	60.129	3.429	326.728	5	0
3373.3	172.697	9.316	2.755	63.105	3.46	298.745	5	0
3373.4	171.607	9.667	2.744	63.525	3.501	294.182	2	0
3373.5	169.93	9.048	2.737	56.46	3.548	384.062	2	0
3373.6	167.694	7.578	2.734	43.875	3.589	847.286	2	0
3373.7	165.771	5.82	2.731	32.345	3.62	1666.081	2	0
3373.8	164.437	4.143	2.728	23.473	3.64	2684.356	1	0
3373.9	163.822	2.835	2.726	18.184	3.65	3696.018	1	4
3374	163.915	2.164	2.724	16.755	3.64	4439.908	1	4
3374.1	164.668	1.942	2.721	18.005	3.62	4372.907	1	4
3374.2	165.681	2.027	2.718	20.853	3.595	3840.489	1	0
3374.3	166.946	2.376	2.715	25.339	3.568	3066.484	2	0
3374.4	168.474	2.998	2.714	31.708	3.541	2217.152	2	0
3374.5	170.264	3.916	2.717	40.106	3.518	1441.264	2	0
3374.6	172.21	4.839	2.723	47.924	3.503	934.222	2	0
3374.7	173.851	5.553	2.73	51.648	3.502	624.301	2	0
3374.8	174.941	5.914	2.739	51.601	3.52	467.249	2	0
3374.9	175.296	5.823	2.747	48.17	3.554	440.069	2	0
3375	174.795	5.235	2.754	42.063	3.591	526.114	5	0
3375.1	173.19	4.616	2.761	34.718	3.613	783.055	5	0
3375.2	171.212	4.237	2.767	29.059	3.618	1076.328	5	0
3375.3	169.135	4.225	2.774	26.577	3.605	1277.437	5	0
3375.4	167.154	4.604	2.783	28.366	3.575	1300.077	5	0
3375.5	165.423	5.167	2.794	34.896	3.535	1094.203	5	0
3375.6	164.183	5.497	2.802	42.25	3.484	732.216	5	0
3375.7	163.315	5.562	2.808	46.446	3.422	475.33	5	0
3375.8	162.802	5.388	2.808	47.431	3.353	360.223	5	0
3375.9	162.634	5.043	2.802	44.906	3.285	390.589	5	0
3376	162.779	4.584	2.782	38.756	3.258	540.028	5	0
3376.1	163.208	4.105	2.754	31.857	3.273	749.857	5	0
3376.2	163.676	3.632	2.726	27.981	3.313	930.483	5	0
3376.3	164.143	3.18	2.705	26.765	3.364	1110.559	2	0
3376.4	164.607	2.764	2.695	27.081	3.413	1339.471	2	0
3376.5	165.093	2.425	2.697	27.231	3.443	1676.824	2	0
3376.6	165.706	2.233	2.704	26.946	3.466	2120.312	2	0
3376.7	166.39	2.173	2.712	27.063	3.48	2339.637	2	0
3376.8	167.063	2.221	2.718	27.83	3.488	2252.86	2	0
3376.9	167.629	2.337	2.722	28.629	3.491	1884.324	2	0
3377	167.98	2.461	2.726	28.312	3.485	1348.671	2	0
3377.1	167.842	2.611	2.733	26.203	3.475	929.562	2	0
3377.2	167.446	2.867	2.743	24.471	3.462	651.662	4	0
3377.3	167.028	3.295	2.754	24.389	3.449	455.092	4	0
3377.4	166.828	3.958	2.764	27.378	3.437	312.037	5	0
3377.5	167.113	4.96	2.768	34.799	3.429	210.345	5	0
3377.6	168.47	6.146	2.771	46.815	3.423	179.681	5	0
3377.7	170.377	7.316	2.776	58.336	3.425	170.687	5	0
3377.8	172.433	8.315	2.784	66.434	3.431	169.529	5	0
3377.9	174.263	9.001	2.795	70.115	3.438	169.383	5	0
3378	175.477	9.09	2.807	69.766	3.396	167.603	5	0
3378.1	175.22	8.581	2.816	65.898	3.296	172.666	5	0
3378.2	173.917	7.741	2.821	57.421	3.157	196.408	5	0
3378.3	171.83	6.763	2.823	46.549	3.006	248.682	5	0
3378.4	169.214	5.824	2.818	35.918	2.877	337.263	5	0
3378.5	166.394	5.102	2.803	28.464	2.854	466.421	5	0
3378.6	164.101	4.587	2.784	24.69	2.924	626.525	4	0
3378.7	162.732	4.274	2.767	22.803	3.068	757.899	4	0
3378.8	162.365	4.19	2.756	22.769	3.258	836.522	4	0
3378.9	162.972	4.382	2.752	24.661	3.453	847.389	4	0
3379	164.377	4.946	2.754	28.506	3.567	784.241	5	0
3379.1	165.927	5.699	2.761	34.286	3.607	642.855	5	0
3379.2	166.65	6.402	2.77	40.813	3.596	500.378	5	0
3379.3	166.309	6.876	2.781	46.032	3.555	396.888	5	0
3379.4	164.88	6.979	2.793	47.792	3.505	362.628	5	0
3379.5	162.569	6.59	2.803	44.123	3.463	419.384	5	0
3379.6	160.259	6.026	2.81	36.713	3.411	584.019	5	0
3379.7	159.048	5.515	2.813	30.809	3.334	731.454	5	0
3379.8	159.19	5.211	2.812	28.362	3.232	803.649	5	0
3379.9	160.758	5.222	2.805	30.447	3.106	772.861	5	0
3380	163.625	5.65	2.791	37.277	2.997	636.844	5	0
3380.1	167.564	6.26	2.774	46.13	2.944	454.626	5	0
3380.2	171.605	6.918	2.76	54.294	2.954	317.694	5	0
3380.3	175.526	7.589	2.751	62.19	3.026	226.327	5	0
3380.4	179.16	8.298	2.748	70.53	3.149	173.19	5	0
3380.5	182.364	9.116	2.754	80.157	3.288	143.481	5	0
3380.6	184.566	9.826	2.76	90.423	3.384	124.218	5	0
3380.7	185.631	10.144	2.763	98.411	3.427	113.929	5	0
3380.8	185.414	9.868	2.761	101.384	3.421	131.386	5	0
3380.9	183.833	8.861	2.754	96.344	3.385	203.544	5	0
3381	180.919	7.189	2.745	80.747	3.382	362.08	5	0
3381.1	176.709	5.731	2.737	59.193	3.419	667.551	5	0
3381.2	172.4	4.795	2.73	41.262	3.475	926.176	2	0
3381.3	168.392	4.454	2.728	28.841	3.533	1045.62	2	0
3381.4	164.956	4.609	2.729	21.961	3.573	994.724	1	6
3381.5	162.272	4.943	2.736	19.119	3.566	793.832	1	6
